unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
East Asia & Pacific,FJI,Fiji,HEPB3,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,90,82,60,88,,,,,,,,,,,,,
Western Europe,FIN,Finland,HEPB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FRA,France,HEPB3,,91,91,90,90,88,83,82,78,74,64,51,47,42,39,35,35,28,29,28,26,24,27,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,HEPB3,63,70,70,75,75,80,70,79,82,75,67,79,82,75,52,28,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,HEPB3,,88,93,92,95,97,96,97,98,96,97,97,98,97,95,95,95,94,92,91,91,93,92,94,88,87,57,56,,78,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,HEPB3,88,94,93,91,92,94,91,96,92,89,95,54,89,94,84,79,64,48,51,61,55,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,HEPB3,,87,87,87,87,87,87,87,87,87,88,88,87,86,87,90,88,90,87,86,84,81,81,71,57,45,32,15,,,,,,,,,,,,,
West & Central Africa,GHA,Ghana,HEPB3,94,97,97,99,93,88,98,90,92,91,94,94,93,94,84,84,80,80,80,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,HEPB3,96,96,96,96,96,96,96,98,98,95,95,95,95,95,94,93,92,92,91,90,89,88,69,50,12,12,2,2,15,10,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,HEPB3,72,94,95,96,96,92,97,97,97,94,97,99,99,96,91,99,83,97,98,96,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,HEPB3,89,85,86,82,80,74,73,85,96,88,94,92,95,85,89,87,,,,,,,,,,,,,,,,,,,,,,,,,
