unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,IRN,Iran (Islamic Republic of),DTP3,99,99,99,99,99,98,99,98,99,99,99,99,99,99,98,95,99,99,99,96,99,99,99,99,99,98,95,99,97,88,91,82,88,57,57,51,33,33,41,29,32
Middle East & North Africa,IRQ,Iraq,DTP3,74,84,86,81,71,68,73,73,72,81,74,78,69,57,59,65,74,75,77,78,80,81,76,78,76,74,72,70,74,78,83,87,87,94,91,86,67,16,18,13,14
Western Europe,IRL,Ireland,DTP3,94,94,94,95,95,95,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86,86,84,76,74,73,71,70,68,67,65,65,43,44,44,45,45,42,43,36,34
Middle East & North Africa,ISR,Israel,DTP3,98,98,98,98,94,95,95,96,94,94,95,96,94,95,95,93,95,93,90,92,93,91,92,95,94,96,95,96,95,94,93,92,92,92,92,85,87,89,92,91,84
Western Europe,ITA,Italy,DTP3,94,96,95,95,94,93,95,96,97,96,96,96,96,97,96,95,94,96,93,93,87,95,95,95,96,95,95,95,95,95,83,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,DTP3,96,96,97,93,99,91,92,93,96,92,94,90,91,92,95,99,98,96,99,99,93,89,86,90,92,90,93,91,84,85,86,85,82,81,74,60,58,51,34,39,24
East Asia & Pacific,JPN,Japan,DTP3,96,98,98,99,99,96,96,96,97,97,97,97,98,98,98,98,99,97,96,95,85,80,75,70,99,74,80,85,87,92,90,87,86,85,84,83,82,80,81,75,60
Middle East & North Africa,JOR,Jordan,DTP3,77,89,96,99,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,99,91,85,99,99,96,95,94,91,92,92,92,94,93,90,88,85,81,76,75,81,30
Eastern Europe & Central Asia,KAZ,Kazakhstan,DTP3,88,97,98,99,82,98,95,98,99,99,99,98,99,93,99,98,82,99,95,95,97,98,99,97,95,93,76,76,81,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,DTP3,89,91,92,82,89,89,92,87,94,96,90,88,88,81,80,76,73,73,84,80,82,82,81,79,87,94,92,89,87,86,84,83,82,77,72,70,58,,,,
East Asia & Pacific,KIR,Kiribati,DTP3,92,97,95,90,81,78,75,95,94,99,91,86,82,94,86,79,62,70,77,85,90,78,88,91,79,60,71,99,86,70,97,79,63,36,37,37,18,40,53,29,43
